,GLD,MDYG,MDYV,SLYG,SLYV,SPHB,SPLV,SPYG,SPYV,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XMLV,XSLV
2000-04-20 00:00:00+00:00,,,,,,,,,,13.5830546636,,16.8920460063,12.4412243291,19.1747303698,40.5610627176,13.7500157206,,12.7015083761,21.4305186248,22.4496926312,,
2000-04-24 00:00:00+00:00,,,,,,,,,,13.6132392295,,17.0750776128,12.7353182769,19.1947596842,39.3107879023,14.1307853867,,13.0462833048,21.1263341766,22.6878652772,,
2000-04-25 00:00:00+00:00,,,,,,,,,,13.6313499691,,17.1045988397,13.1291940999,20.1962254069,41.5888960013,14.0643017942,,13.4324312251,21.6622782044,23.0950636719,,
2000-04-26 00:00:00+00:00,,,,,,,,,,13.3959103549,,17.3230559184,12.8666102179,19.8957856901,40.7988450444,13.9011147945,,13.4048492308,21.8867952971,23.0720147062,,
2000-04-27 00:00:00+00:00,,,,,,,,,,13.3476150494,,17.5651299786,12.6040263359,19.9158150046,42.0644606549,13.9011147945,,13.1014472934,21.7491880467,22.5956694142,,
2000-04-28 00:00:00+00:00,,,,,,,,,,13.4502425736,,17.0514606314,12.8666102179,19.7822862415,42.1871870171,13.5022132395,,13.0922532953,21.9519776788,22.0194452707,,
2000-05-01 00:00:00+00:00,,,,,,,,,,13.432131834,,17.3230559184,12.5777679477,20.2362840358,42.785478033,13.6774881652,,13.0922532953,22.0244025475,22.6878652772,,
2000-05-02 00:00:00+00:00,,,,,,,,,,13.8486788437,,17.5769384694,12.456979362,20.0293144531,41.9954270761,13.7137519429,,12.6187623932,21.5826108489,22.5342055056,,
2000-05-03 00:00:00+00:00,,,,,,,,,,13.6192761427,,17.1223115758,12.2364089011,19.361670638,40.1775428356,13.7137519429,,12.6647323837,20.9814844393,21.4662700929,,
2000-05-04 00:00:00+00:00,,,,,,,,,,13.7641620591,,17.5651299786,12.0473485061,19.3950528288,39.8860677253,13.7137519429,,12.6417473884,20.9163020576,21.1128526182,,
2000-05-05 00:00:00+00:00,,,,,,,,,,13.7520882328,,17.7481615851,12.1261236707,19.7355511745,40.9752641901,14.0340819795,,12.6693293827,20.8873321101,21.3817572185,,
2000-05-08 00:00:00+00:00,,,,,,,,,,13.6796452745,,17.9725229092,12.3677008421,19.7288747363,39.5255590362,14.3241922013,,12.7566723647,20.9380295182,21.3202933099,,
2000-05-09 00:00:00+00:00,,,,,,,,,,13.9211218019,,17.9784271546,12.3309390986,19.5686402207,38.7968712605,14.3906757938,,12.7152993732,20.785937294,21.5354169901,,
2000-05-10 00:00:00+00:00,,,,,,,,,,13.7520882328,,18.0374696083,12.005335085,19.3750235143,36.9176238388,14.3000163494,,12.9589403229,20.7569673466,21.5354169901,,
2000-05-11 00:00:00+00:00,,,,,,,,,,13.9331956283,,18.5983729186,12.3677008421,19.849050623,37.9531275201,14.2818844606,,13.152014283,20.735239886,21.7274917046,,
